Epoch,Train_Loss,Val_Loss,Train_Acc,Val_Acc,Val_F1,Val_AUC
1,1.335061907,0.988216975,62.71765108,72.30559345,72.1509931,91.5320003
2,0.804102009,0.940595057,76.3400478,75.71623465,75.15660256,92.65968253
3,0.581598793,0.909238274,84.26083988,85.30695771,84.49834336,93.38231064
4,0.414531481,1.067561331,88.01638785,87.35470668,87.30039736,93.3818939
5,0.318156347,1.158001739,91.32809833,90.39972715,90.48311371,93.20242661
6,0.23139364,1.262659615,93.24001366,92.85402456,92.81194901,92.93185039
7,0.189507342,1.286548214,94.40081939,93.80900409,93.89802424,92.87634674
8,0.147232403,1.431797928,95.52748378,94.62755798,94.15496295,93.1033209
9,0.128174884,1.61751459,96.55172414,95.94542974,95.45302696,92.00285025
10,0.1189662,1.583178393,96.68828952,95.76398363,95.01017008,92.93085751
11,0.101207098,1.723628395,96.96142028,95.90040928,95.23455898,92.67059145
12,0.104438519,1.682571407,96.99556163,96.62755798,96.92276867,92.66410589
13,0.10559709,1.690352223,96.96142028,96.67257844,96.87645196,92.87287269
14,0.085989276,1.63065489,97.64424718,97.49113233,97.41077041,93.50901362
15,0.09297833,1.751985973,97.30283373,97.30968622,97.68265352,93.12097677
16,0.098664241,1.620800327,97.33697508,97.71759891,97.15172522,92.58193656
17,0.084788363,1.760811147,97.57596449,97.2633015,9.71042E+14,92.3774416
18,0.069135666,2.037126276,97.91737794,97.44611187,97.97517226,91.8594202
19,0.06351432,1.898748732,97.4,97.76398363,97.82468698,92.30199195
20,0.05415217,0.184091236,97.41725,97.388363,97.3889,97.38796

